src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-4.941461702288373559e+00 -4.946801766475041440e+00 -4.853241775302443273e+00 2.323768926747876939e+00 2.158452632184912545e+01
-4.997016570979400107e+00 -5.057083003437673696e+00 -4.963055377195406237e+00 2.099559817843556608e+00 2.156390144470292825e+01
-4.909908183196537657e+00 -4.998129655535153759e+00 -4.819510628857262446e+00 2.270984425469436907e+00 2.165008166632684805e+01
-4.875742268288418835e+00 -4.962486297311787808e+00 -4.826933434669930634e+00 2.419711784456685777e+00 2.169300535541188424e+01
-5.043588091824402930e+00 -5.008088109511287023e+00 -4.911441579057637341e+00 2.161423603712369967e+00 2.146413027401500173e+01
-5.020531789493529295e+00 -5.100789989378172962e+00 -4.943181108181302186e+00 2.071237677409182965e+00 2.142725874022275434e+01
-4.830029122419269960e+00 -4.832138517807740286e+00 -4.824310461226730240e+00 2.549722720104248275e+00 2.168669630198563780e+01
-5.043749774625173821e+00 -5.038567459866615472e+00 -4.940578499311151006e+00 1.982911193683845497e+00 2.137336731767090114e+01
-5.042467713455158318e+00 -5.119999264158437313e+00 -4.892978307493265788e+00 2.119364832732790305e+00 2.140267539306470113e+01
-4.890747533457727059e+00 -4.885768983829891887e+00 -4.735355787160678176e+00 2.651180235473927560e+00 2.166909687398944584e+01
-4.885141189338346734e+00 -4.929940887611014233e+00 -4.892087233755723297e+00 2.345837722648544954e+00 2.159015644625013408e+01
-4.971140875121885294e+00 -5.030221631040852515e+00 -4.896810253622307485e+00 2.213061289621456318e+00 2.151352592129995855e+01
-4.945444378150680720e+00 -4.936629852150647757e+00 -4.895666162801847854e+00 2.142568258634037548e+00 2.162724920613900537e+01
-5.003709365552966304e+00 -5.004565337289253790e+00 -4.802316772927319732e+00 2.233131460417809855e+00 2.153830335662900097e+01
-4.979858054845944793e+00 -5.037532200391185100e+00 -4.912801067879605910e+00 2.228299279658252807e+00 2.145639966542684363e+01
-4.989599312285543320e+00 -4.985729546685100821e+00 -4.938509128486611388e+00 2.284160570388634959e+00 2.144850482217497856e+01
-5.137609284402524068e+00 -5.195690369882838056e+00 -4.952987980867963991e+00 1.796882892607952975e+00 2.118317775654860924e+01
-4.987244456069528376e+00 -5.000817894990039036e+00 -4.825842827537405455e+00 2.126606989893610411e+00 2.158426798414808445e+01
-4.935510682002949068e+00 -4.890807304429207747e+00 -4.755121051663860676e+00 2.442411565961520203e+00 2.172781632406930896e+01
